mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,16,248,2,NG,0,28,pos+ngs_shank,anchored,0.5399813308146504,0.1161043242829298,0.0130692632514781,0.1030350610314516
20,16,248,2,NG,0,28,pos+ngs_shank,non_anchored,0.4600186691853496,0.1261952408058868,0.0147775947179663,0.1114176460879204
20,16,248,2,NG,1,36,pos+ngs_shank,anchored,0.5399813308146504,0.1036429711777254,0.0130692632514781,0.0905737079262473
20,16,248,2,NG,1,36,pos+ngs_shank,non_anchored,0.4600186691853496,0.1109920828724368,0.0147775947179663,0.0962144881544705
20,16,248,2,NG,2,45,pos+ngs_shank,anchored,0.5399813308146504,0.1104840651375588,0.0130692632514781,0.0974148018860806
20,16,248,2,NG,2,45,pos+ngs_shank,non_anchored,0.4600186691853496,0.1181727010235239,0.0147775947179663,0.1033951063055576
20,16,248,2,NG,3,55,pos+ngs_shank,anchored,0.5399813308146504,0.0624710308646321,0.0130692632514781,0.0494017676131539
20,16,248,2,NG,3,55,pos+ngs_shank,non_anchored,0.4600186691853496,0.0688598677766687,0.0147775947179663,0.0540822730587023
20,16,248,2,NG,0,28,pos+ngs_shank,anchored,0.5399813308146504,0.1161043242829298,0.0130692632514781,0.1030350610314516
20,16,248,2,NG,0,28,pos+ngs_shank,non_anchored,0.4600186691853496,0.1261952408058868,0.0147775947179663,0.1114176460879204
20,16,248,2,NG,1,36,pos+ngs_shank,anchored,0.5399813308146504,0.1036429711777254,0.0130692632514781,0.0905737079262473
20,16,248,2,NG,1,36,pos+ngs_shank,non_anchored,0.4600186691853496,0.1109920828724368,0.0147775947179663,0.0962144881544705
20,16,248,2,NG,2,45,pos+ngs_shank,anchored,0.5399813308146504,0.1104840651375588,0.0130692632514781,0.0974148018860806
20,16,248,2,NG,2,45,pos+ngs_shank,non_anchored,0.4600186691853496,0.1181727010235239,0.0147775947179663,0.1033951063055576
20,16,248,2,NG,3,55,pos+ngs_shank,anchored,0.5399813308146504,0.0624710308646321,0.0130692632514781,0.0494017676131539
20,16,248,2,NG,3,55,pos+ngs_shank,non_anchored,0.4600186691853496,0.0688598677766687,0.0147775947179663,0.0540822730587023
20,20,248,1,GC,1,88,pos+ngs_shank,anchored,0.0749186208729157,0.0040870003767443,-0.0017113488916626,0.005798349268407
20,20,248,1,GC,1,88,pos+ngs_shank,non_anchored,0.9250813791270844,0.0093752147399847,-0.0033673875019142,0.0127426022418989
20,26,248,3,NG,3,105,pos+ngs_shank,anchored,0.012466974900924703,0.00612708524932748,-0.012737879156078158,0.018864964405405638
20,26,248,3,NG,3,105,pos+ngs_shank,non_anchored,0.9875330250990753,0.005100182332463454,-0.00517830680437803,0.010278489136841484
21,15,248,1,NG,0,75,pos+ngs_shank,anchored,0.5925181214763796,0.021714710106911506,0.011912583839055357,0.009802126267856148
21,15,248,1,NG,0,75,pos+ngs_shank,non_anchored,0.4074818785236204,0.018638436478352505,0.007646323598589855,0.01099211287976265
21,15,248,1,NG,1,69,pos+ngs_shank,anchored,0.5925181214763796,0.028998142496637347,0.011912583839055357,0.01708555865758199
21,15,248,1,NG,1,69,pos+ngs_shank,non_anchored,0.4074818785236204,0.026263905907202068,0.007646323598589855,0.018617582308612213
21,15,248,1,NG,2,48,pos+ngs_shank,anchored,0.5925181214763796,0.027844709259090994,0.011912583839055357,0.015932125420035637
21,15,248,1,NG,2,48,pos+ngs_shank,non_anchored,0.4074818785236204,0.023262423124238985,0.007646323598589855,0.01561609952564913
