mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,15,195,2,NG,0,1,pos+ngs_shank,anchored,0.0377705515388429,0.0055626698857826,0.0019430441769852,0.0036196257087974
20,15,195,2,NG,0,1,pos+ngs_shank,non_anchored,0.962229448461157,-0.0146220020054363,-0.0106551847124387,-0.0039668172929976
20,15,195,2,NG,1,24,pos+ngs_shank,anchored,0.0377705515388429,0.0066865818304051,0.0019430441769852,0.0047435376534199
20,15,195,2,NG,1,24,pos+ngs_shank,non_anchored,0.962229448461157,-0.00557067917616,-0.0106551847124387,0.0050845055362787
20,15,195,2,NG,2,9,pos+ngs_shank,anchored,0.0377705515388429,0.0159680294751636,0.0019430441769852,0.0140249852981784
20,15,195,2,NG,2,9,pos+ngs_shank,non_anchored,0.962229448461157,0.0083984540958051,-0.0106551847124387,0.0190536388082439
20,15,195,2,NG,3,15,pos+ngs_shank,anchored,0.0377705515388429,0.0063550634055481,0.0019430441769852,0.0044120192285629
20,15,195,2,NG,3,15,pos+ngs_shank,non_anchored,0.962229448461157,-0.0031945703654698,-0.0106551847124387,0.0074606143469688
20,15,195,2,NG,0,1,pos+ngs_shank,anchored,0.0377705515388429,0.0055626698857826,0.0019430441769852,0.0036196257087974
20,15,195,2,NG,0,1,pos+ngs_shank,non_anchored,0.962229448461157,-0.0146220020054363,-0.0106551847124387,-0.0039668172929976
20,15,195,2,NG,1,24,pos+ngs_shank,anchored,0.0377705515388429,0.0066865818304051,0.0019430441769852,0.0047435376534199
20,15,195,2,NG,1,24,pos+ngs_shank,non_anchored,0.962229448461157,-0.00557067917616,-0.0106551847124387,0.0050845055362787
20,15,195,2,NG,2,9,pos+ngs_shank,anchored,0.0377705515388429,0.0159680294751636,0.0019430441769852,0.0140249852981784
20,15,195,2,NG,2,9,pos+ngs_shank,non_anchored,0.962229448461157,0.0083984540958051,-0.0106551847124387,0.0190536388082439
20,15,195,2,NG,3,15,pos+ngs_shank,anchored,0.0377705515388429,0.0063550634055481,0.0019430441769852,0.0044120192285629
20,15,195,2,NG,3,15,pos+ngs_shank,non_anchored,0.962229448461157,-0.0031945703654698,-0.0106551847124387,0.0074606143469688
20,18,195,1,NG,0,2,pos+ngs_shank,anchored,0.0227432590855803,-0.0156819271853181,-0.0309927472471227,0.0153108200618046
20,18,195,1,NG,0,2,pos+ngs_shank,non_anchored,0.9772567409144196,0.0165624965680548,-0.0016625009439814,0.0182249975120363
20,18,195,1,NG,1,32,pos+ngs_shank,anchored,0.0227432590855803,0.1647456744033588,-0.0309927472471227,0.1957384216504816
20,18,195,1,NG,1,32,pos+ngs_shank,non_anchored,0.9772567409144196,0.1958250944462958,-0.0016625009439814,0.1974875953902772
20,18,195,1,NG,2,47,pos+ngs_shank,anchored,0.0227432590855803,0.0222511911976204,-0.0309927472471227,0.0532439384447431
20,18,195,1,NG,2,47,pos+ngs_shank,non_anchored,0.9772567409144196,0.0496319253177893,-0.0016625009439814,0.0512944262617708
20,18,195,1,NG,3,23,pos+ngs_shank,anchored,0.0227432590855803,0.014083676005974,-0.0309927472471227,0.0450764232530968
20,18,195,1,NG,3,23,pos+ngs_shank,non_anchored,0.9772567409144196,0.0112565708553031,-0.0016625009439814,0.0129190717992846
20,15,195,2,NG,0,1,pos+ngs_shank,anchored,0.0377705515388429,0.0055626698857826,0.0019430441769852,0.0036196257087974
